word,count
छ ।,391
गर्ने,264
जलवायु,203
तथा,179
"७,",168
"८,",165
रूपमा,139
हुने,132
।,124
गर्नुहोस्,122
भने,117
on,116
थियो ।,112
:,109
छन् ।,106
गर्दै,104
मौसम,103
हो ।,100
कान्तिपुर,98
परिवर्तन,96
राजनीतिक,94
सन्,86
हुन्छ ।,83
आर्थिक,79
निर्माण,79
सरकारले,78
/,77
नेपाल,76
नेपालका,76
छ ।,75
२०७८,75
राज्यका,74
लगइन,73
काम,72
-,72
संग्रह,71
फाल्गुन,69
विकास,67
कायम,65
कारण,64
क्षेत्र,63
करोड,60
वन,60
बढी,60
भन्ने,59
आएको,59
गर्दा,58
नेपाली,57
ठूलो,57
विश्वमा,57
पूरा,56
वर्ष,55
उनले,55
निर्वाचन,55
अर्ब,54
प्रतिशत,54
राष्ट्रिय,54
संस्थाहरू,54
क्षेत्रमा,53
समाचार,53
मात्रै,52
विभिन्न,52
सूचना,52
थप,51
सम्पर्क,51
१०,51
गर्नुपर्ने,51
?,51
अप,51
बचतपत्र,50
मौसमबाट,50
बस्ती,50
अहिले,49
प्रमुख,49
अनुकूलन,49
सम्झौता,49
सल्लाह,49
खाता,49
साइन,49
फेसबुकबाट,49
खोप,48
श्रेष्ठफाल्गुन,48
पौडेलफाल्गुन,48
हेर्नुहोस्,48
इ-पत्रिका,48
नेटवर्कपासवर्ड,48
संस्थाहरूको,47
पढ्नुहोस्,47
जोखिम,47
Free,46
|,46
Emailप्रतिक्रियापठाउनुहोस्,46
via,46
TwitterShare,46
FacebookShare,46
"भने,",45
रहेको,45
दिने,45
सुदृढ,44
एमसीसी,44
अध्यक्ष,43
भूमिका,41
स्थापित,41
संयुक्त,41
भनेर,40
आवश्यक,40
जोगाउन,40
तापक्रम,40
भवन,40
प्रदान,39
लिन,39
मापदण्ड,39
कृषि,38
नेपालको,38
लगानी,38
क्षति,38
म्याद,38
अस्ट्रेलियाको,37
प्रधानन्यायाधीश,37
प्रकाशित,37
नेपालमा,36
विकसित,36
खेती,36
उत्पन्न,36
दूरगामी,36
राख्न,36
सर्त,36
उत्सर्जन,35
व्यवस्था,35
स्थानीय,35
रुपैयाँ,35
हाम्रा,35
अर्चना,35
सफलताको,35
to,35
छैन ।,34
बिक्री,34
५,34
भइरहेका,34
औचित्यहीन,34
बसाएर,34
वा,34
हामीले,33
विद्युत्,33
नभई,33
विकासका,33
परिवर्तनले,33
माग,33
क्षेत्रका,33
सहकार्यफेलिसिटी,33
प्रभावर्‍यान्डी,33
सकसडा.,33
संस्थाहरूअम्बिकाप्रसाद,33
टकरावउषा,33
पारित,33
बताए ।,32
करिब,32
—,32
Kantipur,32
सम्पन्न,32
मुलुक,32
काठमाडौं,32
जिम्मेवारी,32
प्रतिक्रिया,32
वैदेशिक,31
वर्षमा,31
नेपालले,31
२१,31
मिलेर,31
बुझाइ,31
समयमा,31
खुला,31
शेरबहादुर,31
कार्बन,30
रहेका,30
लाख,30
"छ,",30
निजी,30
सुझाव,30
बारेमा,30
औं,30
पूर्वानुमानको,30
भरपर्दो,30
चोलेन्द्रशमशेर,30
बहुतले,30
महिना,30
पत्र,30
माओवादी,30
सुरु,29
बेला,29
of,29
स्रोत,29
देश,29
रूपले,29
चुनौतीको,29
जलवायुमैत्री,29
सम्हाल्न,29
अहिलेसम्म,29
वर्षसम्म,29
विभागले,29
जल,29
संकलन,29
नासों,29
अव्यवस्थित,29
छैन ।,29
बीउ,28
गत,28
भएका,28
वातावरण,28
पर्ने,28
१७,28
प्रभावबाट,28
समयको,28
राष्ट्रहरू,28
डढेलोको,28
प्रकृति,28
विज्ञान,28
फाइदा,28
आकाशमा,28
धरातलमा,28
लोकतन्त्रलाई,28
टकराव,28
परिमार्जन,28
सर्वोच्च,27
प्रतिबद्धता,27
क्षेत्रको,27
सुरक्षा,27
साझा,27
सुरुवात,27
२०२१,27
स्थिर,27
"ज्ञान,",27
परिवर्तनसम्बन्धी,27
उपत्यकामा,27
मनाङको,27
जबरामाथि,27
नसकेर,27
पदीय,27
प्रजातन्त्र,27
वादहरूबीचको,27
केन्द्रीय,27
चलेको,27
निर्माणलाई,27
लाग्दा,27
केन्द्रका,27
औपचारिक,26
रोजगार,26
सबैभन्दा,26
राज्य,26
नीति,26
बिजनेस,26
बजे,26
देखापरेको,26
शताब्दीमा,26
जीवनको,26
हुँ ।,26
राजदूतका,26
सुरुवातसँगै,26
हजारौं,26
इतिहासको,26
मडारिएको,26
बादल,26
कालो,26
बनेका,26
आलोचित,26
गरिमा,26
विकृत,26
मनाइरहँदा,26
दिवस,26
संसार,26
बीचको,26
१९८९,26
शीतयुद्धको,26
२०७२,26
मागेका,26
देउवा,26
घानबाट,26
JavaScript,26
इन,26
नागरिक,25
हजार,25
ठेक्का,25
सहयोग,25
अन्तर्राष्ट्रिय,25
चुनौती,25
सेयर,25
ServicePrivacy,25
Kathmandu,25
"प्रविधि,",25
न्युज,25
आधिकारिक,25
विश्वकप,25
१९,25
कोभिड,25
तथ्यांकमा,25
अछुतो,25
अतिकम,25
विश्वमाझ,25
समझदारी,25
टेर्दैन,25
सिमानालाई,25
कार्यहरू,25
रणनीतिभित्र,25
