word,count
छ ।,302
तथा,254
"६,",237
:,225
गर्ने,210
राजनीतिक,192
।,155
रूपमा,149
गर्नुहोस्,147
छन् ।,144
on,142
"५,",132
राष्ट्रिय,127
भन्ने,123
चुरे,120
हुने,117
छ ।,117
कान्तिपुर,117
नेपाली,115
एमसीसी,112
नेपालमा,110
क्षेत्र,106
बनाउन,102
/,100
भने,99
अमेरिकी,99
निर्णय,99
समाचार,91
विकास,90
लगइन,88
२०७८,87
-,87
निर्माण,85
संग्रह,85
फाल्गुन,84
एउटा,84
नेता,84
उनले,82
नेपाल,82
७,82
छैन ।,82
काम,79
वा,78
पूरा,77
दल,77
सम्झौता,76
परियोजनाको,74
अनुदान,73
ठूलो,73
गर्दै,73
आर्थिक,73
रहेको,72
खोप,72
५,72
घोषणा,72
संविधान,70
आधुनिक,69
थियो ।,68
सन्,68
हो ।,67
दिन,67
"भने,",66
सय,66
सम्पर्क,66
निर्वाचन,65
गरिएको,64
थप,64
सरकारले,63
कर्पोरेसन,63
(एमसीसी),62
सल्लाह,62
खाता,62
जना,61
?,61
प्रमुख,59
साइन,59
फेसबुकबाट,59
अप,59
क्षेत्रमा,58
१०,58
परियोजना,58
भन्दै,58
हेर्नुहोस्,58
इ-पत्रिका,58
नेटवर्कपासवर्ड,58
पढ्नुहोस्,57
प्रधानमन्त्री,57
Free,56
|,56
Emailप्रतिक्रियापठाउनुहोस्,56
via,56
TwitterShare,56
FacebookShare,56
पक्षमा,56
अनुमोदन,55
अहिले,54
गते,54
माओवादी,53
गठबन्धनको,53
पर्ने,53
प्रतिशत,52
अमेरिकाले,52
एवं,52
नेपालले,51
पानी,51
कारण,50
विभिन्न,50
अर्ब,50
प्राकृतिक,50
प्रकाशित,50
हजार,49
आयोजना,49
जग्गा,49
आन्तरिक,49
सहायता,48
भनी,48
२,47
रुसले,47
सर्वोपरि,47
अध्ययन,46
लिन,46
संस्कार,45
समाजवादी,45
परिवर्तन,45
ब्याजदर,44
छन् ।,44
to,44
