word,count
।,1924
+,407
नेपाली,334
कमेन्ट,321
/,320
Password,320
तथा,312
:,305
भने,302
गर्ने,300
?,228
समाचार,217
अन्तर्राष्ट्रिय,190
सूचना,184
नेपाल,176
कुन,175
प्रमुख,171
Forgot,164
वास्तविक,163
ताजा,163
Login,162
हुने,162
तपाइले,160
Twitter,160
Facebook,160
Google,160
Media?,160
Social,160
use,160
Or,160
Reset,160
लगइन,160
Remenber,160
खबर,160
दिनमै,160
to,160
रिज्ल्ट,160
बलिउड,152
काम,151
गर्दै,150
रहेको,141
वा,136
अध्यक्ष,131
गर्नुपर्ने,128
कस्तो,124
स्वास्थ्य/जीवनशैली,124
भयो,122
नेपालको,119
प्रतिशत,117
रोजगार,116
पर्यटन,114
कोरोना,112
समस्या,109
समेत,107
विकास,106
पहिचान,106
सकिने,106
बजार,106
ध्यान,104
थप,101
गरिएको,100
महिना,100
अनि,100
रुपैयाँ,100
सुरक्षित,98
अनिवार्य,94
भन्ने,93
परिवर्तन,92
प्रदेश,92
योग,92
दर्ता,91
गते,91
२०७८,91
एचआइभी,90
घटाउने,90
उनले,89
निर्वाचन,89
महसुस,89
अभ्यास,89
अहिले,88
घण्टा,88
गर्नका,87
विभाग,87
सम्पर्क,87
भिडियो,87
प्रहरी,87
बन्ने,86
गर्नुहोस्,86
कथा,86
गरिएका,86
!,86
१२,86
अनलाइनखबर,85
हङकङ,85
हजार,84
सजिलै,84
प्रबन्ध,84
घातक,84
प्रोफाइल,83
फेसबुक,83
मनोरञ्जन,83
अपराध,83
महाधिवेशन,82
एमाले,82
वित्त,82
"नेपाल,",82
आपुन,82
एकमुष्ठ,81
"कमेन्ट,",81
राखिने,81
गोप्य,81
फोटो,81
डिस्प्ले,81
नामबाट,81
Back,81
Link,81
password?,81
me,81
शिव,81
प्रधान,81
विज्ञापन,81
प्रयोगका,81
२०७४,81
चुनावी,81
अटो,81
विजनेस,81
अन्तर्वार्ता,81
कांग्रेस,81
भाइरस,81
फिचर),81
(फोटो,81
सरकारी,81
च्याम्पियनसिपमा,81
मोटोपन,81
अपडेट,81
up,80
Sign,80
Mobile,80
Phone,80
Name,80
Display,80
Confirm,80
Email,80
Username,80
Form,80
Registration,80
User,80
हेर्नुहोस्,80
बिबरण,80
लाइक/डिसलाइकको,80
"रिप्लाई,",80
प्रोफाइमा,80
रजिस्ट्रेसनसँगै,80
तपाइको,80
"गर्नहोस्,",80
ढुक्कले,80
निकनेम,80
सुविधाअनुसारको,80
नेममा,80
चाहनुहुन्न,80
ट्वीटरमार्फत्,80
"गुगल,",80
इमेल,80
रजिस्ट्रेसन,80
दिनुहोस्:,80
Send,80
Password?,80
Now,80
Signup,80
yet?,80
account,80
have,80
Not,80
सर्वाधिकार,80
Onlinekhabar.com,80
२००६-२०२१,80
©,80
news@onlinekhabar.com,80
+977-1-4796489,80
"+977-1-4790176,",80
०७३–७४,80
२१४,80
नं.,80
गाउँले,80
सम्पादकः,80
भुसाल,80
धर्मराज,80
निर्देशक:,80
पोलिसी,80
प्राइभेसी,80
सर्त,80
टीम,80
बहस़़,80
हिरोज्,80
फ्रन्टलाइन,80
विघटन,80
संसद,80
श्रृंखला,80
हलिउड,80
गसिप,80
ब्लोअप,80
सूचना-प्रविधि,80
बैँक,80
प्रवास,80
जीवनशैली/स्वास्थ्य,80
खेलकुद़़,80
साहित्य,80
विचार/ब्लग,80
समाज,80
सर्च,80
छुटाउनुभयो,80
"साता
यो",80
"लोकप्रिय

२४",80
"+
प्रतिक्रिया",80
"Password?




Send",80
मिडियामार्फत्,80
इमेल/सोसल,80
साइनअप,80
खोल्नु,80
comment,80
तपाईलाई,80
पढेर,80
चलचित्र,80
टिमको,80
यु-१९,80
प्रतिनिधित्व,80
फाइदाजनक,80
"होमपेज
समाचार
विजनेस
जीवनशैली
मनोरन्जन
विचार
प्रवास
खेलकुद
अन्य",80
content,80
Skip,80
edition,80
English,80
"प्रविधि


मनोरन्जन


खेलकुद",80
"+




होमपेज


समाचार


विजनेश


जीवनशैली


सूचना",80
उच्च,79
"Link

Back",79
"गर्नुहोस्




वा",79
"me

Forgot",79
"महर्जन,",79
हो–संजय,79
भनेजस्तै,79
फरर,79
अंग्रेजी,79
विद्युत्,78
क्षेत्रमा,78
सरकारले,78
"अपडेट





ट्रेन्डिङ






प्रोफाइल",78
"password?


Login
खाता",78
"दिनुहोस्







Login",78
"?


पिसिए",78
"पोषणविद्


गर्भावस्थामा",78
"हेर्नुस










ट्रेन्डिङ",78
"?



















ताजा",77
सामाजिक,77
६,77
हामीले,76
"4




प्रतिक्रिया




















सम्बन्धित",76
राष्ट्रिय,76
"नेपाल

युएईमा",76
"प्रतिक्रिया

भर्खरै
पुराना
लोकप्रिय











प्रतिक्रिया",75
राष्ट्र,74
बढी,74
"?





खुसी






दुःखी






अचम्मित






उत्साहित






आक्रोशित",74
रकम,73
कारण,72
सेवा,71
"गर्नुहोस्


Google



Facebook



Twitter






Forgot",71
"के






कभर",71
बताए,70
"ट्रेन्डिङ








Advertisment






















सिफारिस",70
काठमाडौं,70
अर्ब,69
माग,67
बैंकको,66
बैंकले,64
जाने,64
५,64
मूल्य,63
जोडी,63
करोड,62
फागुन,62
व्यवस्था,61
लाख,61
दिन,61
वैदेशिक,60
गर्दा,60
रूपमा,60
लागेको,60
लभ्लीहिलमा,58
भन्दै,57
२,57
मोडिएको,57
प्रतिस्पर्धाबाट,57
प्रेमकथा,57
दम्पतीको,57
चिकित्सक,57
एमसीसीमा,57
प्रेमिल,57
अवस्था,56
ब्लग,56
विभिन्न,56
लगानी,55
सक्ने,55
तिलकपोखरी,55
शर्त,55
आएको,55
बैंक,54
वर्ष,54
पक्राउ,54
रमाउँदै,54
मात्रै,53
नेपालमा,53
बताउँछन्,53
ओढारबाट,53
सुरु,53
रोग,53
बहानामा,52
वित्तीय,51
कम्पनीले,51
स्थानीय,51
मूल्यवृद्धि,51
श्रम,50
जना,50
पर्ने,50
अवस्थामा,50
स्वास्थ्य,50
भूमिका,50
प्रचण्डको,49
तनावको,49
रुस-युक्रेन,49
कारोबार,48
"नियाल्दै








फिटनेस



१५",48
भएका,48
रुपमा,47
औषधि,47
सुरक्षा,47
ठूलो,46
गरे,46
"0Comments






















अनलाइनखबर",46
जनाएको,45
रहेका,45
वटा,45
उडान,44
उनी,44
योजना,43
संक्रमित,43
‘भ्यालेन्टाइन्स’,43
"साहित्य

सम्झनामा",43
ओएसए,43
पैसा,42
एउटा,42
सार्वजनिक,41
निर्णय,41
महिनावारी,41
सडक,40
दिने,40
सहज,40
अघि,39
खर्च,39
जानकारी,38
सन्,38
अध्ययन,38
हुन्,38
"फागुन,",38
लहिरीलाई,38
"संक्रमित,",38
व्यवस्थापन,37
१,37
भनाइ,37
निर्माण,37
भएपछि,37
खपत,36
वातावरणीय,36
३,36
आवश्यक,36
आँधी,36
दाबी,36
वार्षिक,36
होटल,35
आयोजना,35
सय,35
यसले,35
माघ,35
संख्या,35
विस्तार,34
विषयमा,34
वर्षे,34
सौर्य,34
१५,34
१०,33
कायम,33
७,33
मेलाको,33
कुम्भ,33
भनेर,33
एण्ड,32
कम्पनीको,32
व्यवसाय,32
देखिएको,32
नियमित,32
उत्सव,32
प्रवक्ता,31
उल्लेख,31
विभागले,31
मन्त्रालयले,31
लिन,31
डलर,31
सञ्चालन,31
म्यादी,31
भत्ता,31
अगाडि,30
सुविधा,30
कम्पनी,30
बैंकिङ,30
जारी,30
आर्थिक,30
गर्नु,30
बढेको,30
वर्षको,30
११,30
तलब,30
आरोपमा,30
श्रमिक,29
तयार,29
गरिरहेको,29
परीक्षण,29
शुल्क,29
सकिन्छ,29
"छ,",29
प्रहरीमा,29
यसलाई,29
आउने,29
बिरामी,29
क्रम,29
"सम्बन्ध











धेरै",28
संक्रमण,28
उपचार,28
बनाउन,28
गरिरहेका,28
सीईओ,28
दैनिक,28
नियुक्त,27
मल,27
उत्पादन,27
रुसी,27
प्रदान,27
सहयोग,27
सवारी,27
"भने,",27
कार्यक्रम,27
सेयर,27
नदिने,27
खुलेर,27
विद्युतीय,26
मुद्दा,26
क्यासिनो,26
धितोपत्र,26
मोबाइल,26
कार्यालय,26
देखिन्छ’,26
साइकोलोजी,26
फियर,26
"अन्तर्वार्ता

‘नेताहरूमा",26
निकै,26
आयात,26
पुगेको,26
दिए,26
बिक्री,26
आएका,26
आज,26
मापदण्ड,26
दिएको,26
गर्नुपर्छ’,26
पाउने,25
बनाउने,25
भाडा,25
जस्ता,25
लाग्ने,25
कुकको,25
सम्झौता,24
वातावरण,24
ब्याजदर,24
पेट्रोलियम,24
कर,24
बजारमा,24
अनुसन्धान,24
भइरहेको,24
महिला,24
पूरा,24
करिब,24
कति,24
नहुने,24
हुँदै,24
भनेको,24
परिवारको,24
विदेशी,23
लाइसेन्स,23
कडाइ,23
बैंकका,23
"भाइ,",23
विदेशमा,23
सो,23
पाइएको,23
हुँदा,23
"तर,",23
बढाउने,23
वृद्धि,23
परेको,23
"अन्तर्वार्ता

‘अर्थतन्त्र",23
समस्याबारे,23
विभागका,22
रोजगारी,22
कृषि,22
रोजगारीमा,22
कर्जा,22
४,22
समयमै,22
म्हेपीसम्म,22
उपलब्ध,22
सम्बन्धित,22
गरिने,22
बेला,22
स्थापना,21
आन्तरिक,21
लामो,21
गुणस्तर,21
गत,21
पुनः,21
प्रवाह,21
भारतीय,21
लक्ष्य,21
२०,21
रोजगारीको,21
लगायतका,21
सिर्जना,21
नाममा,21
असर,21
विषय,21
त्यसको,21
गन्तव्य,21
ल्याउने,21
प्रक्रिया,21
आग्रह,21
बोकेरै,21
आधारित,20
"माघ,",20
अवैध,20
याक,20
रेमिट्यान्स,20
राजश्व,20
आचार्य,20
कार्यकारी,20
क्यान्सर,20
सबैभन्दा,20
३०,20
निर्देशक,20
खाना,20
गर्छन्,20
संरक्षण,20
दिनमा,20
चुनौती,20
"बाटो











धेरै",20
"प्राथमिकता,",20
सुरक्षाकर्मीलाई,20
मन्त्री,20
यस्ता,20
महत्वपूर्ण,20
भएकाले,20
प्रभाव,19
बाँकी,19
अर्थतन्त्रमा,19
भर्चुअल,19
जोखिम,19
दर,19
पुनरावलोकन,19
मौद्रिक,19
कर्जाको,19
घोषणा,19
बताएको,19
डा.,19
१३,19
१६,19
छलफल,19
तयारी,19
साढे,19
मोडल,19
यसमा,19
परेका,19
सक्रिय,19
१८,19
बनाएको,19
वर्षपछि,19
२२,19
कस्ता,19
लाग्छ,19
मैले,19
नभएको,19
श्रमिकको,18
संलग्न,18
स्वीकृति,18
खाता,18
सिफारिस,18
बोर्ड,18
भएर,18
वाणिज्य,18
भुक्तानी,18
९,18
गोलाबारी,18
नियन्त्रण,18
"भन्छन्,",18
परामर्श,18
क्षेत्रका,18
"जोहो


विवाहयोग्य",18
"स्टोरी



भारी",18
तोकिएको,18
स्रोत,18
बढ्दो,18
भन्छन्-,18
मृत्यु,18
सेना,18
हुँदैन,18
ठूला,18
अनुभव,18
"प्रविधि

एप्पल",18
रूख,17
विमानस्थलमा,17
क्यासिनोको,17
निजी,17
आगामी,17
हवाई,17
शेयर,17
विवाहयोग्य,17
निःशुल्क,17
५०,17
बक्यौता,17
बाँड्न,17
बढ्दै,17
जम्मा,17
१४,17
सम्बन्धी,17
"?


मानसिक",17
कर्जामा,16
गाडी,16
आफ्ना,16
निकाय,16
खरिद,16
पूँजी,16
बोर्डको,16
नीतिको,16
कार्यान्वयन,16
व्यापार,16
बैंकहरुको,16
कर्मचारी,16
खर्ब,16
आवद्ध,16
युक्रेनमा,16
प्रधानमन्त्री,16
"बढ्दैछ


महोत्तरीदेखि",16
उत्कृष्ट,16
सुझाव,16
आधारमा,16
जुन,16
यही,16
लिकेजप्रुफ,16
"चाहन्थे,",16
लगेर,16
हेलिकप्टरमा,16
बनायो,16
ठाउँमा,16
ग्राहकलाई,16
घर,16
क्रममा,16
सामान्य,16
"माग


बप्पी",16
श्रमिकलाई,15
कल,15
परीक्षा,15
महालक्ष्मी,15
प्राधिकरणले,15
स्टोरी,15
जहाज,15
यती,15
मार्फत,15
कारबाही,15
लेखकको,15
गर्छौं,15
पदार्थको,15
कुल,15
नीति,15
अर्थतन्त्र,15
पोखरा,15
खातामा,15
अर्थतन्त्रलाई,15
कम्पनीका,15
लागू,15
"स्टोरी



बप्पी",15
लिएको,15
विश्वास,15
सुधार,15
अवसर,15
समाधान,15
क्षमता,15
आकर्षक,15
बन्दै,15
गएको,15
थामी,15
क्षेत्र,15
हेर्नुस,15
इजरायल,14
अलपत्र,14
रेल,14
श्रेष्ठले,14
बुकिङ,14
बाल,14
अनलाइन,14
उपभोक्ता,14
विद्यमान,14
पानी,14
वन,14
उजुरी,14
खुला,14
विकासका,14
बोर्डका,14
आयातमा,14
क्षेत्रको,14
हेर्ने,14
फोनको,14
एकल,14
७४,14
कार्यरत,14
जोड,14
जनाको,14
माथिल्लो,14
सहभागी,14
महिनामा,14
शर्मा,14
मेसिन,14
