word,count
x,124
फागुन,104
एउटा,102
सपना,94
on,93
us,93
समाज,93
पक्राउ,88
कोरोना,84
जनामा,83
संक्रमण,82
सेतोपाटी,81
थप,78
निर्माण,76
घर,74
आरोपमा,72
छ।,69
उनले,69
नेपाली,69
भनेर,68
पनौतीको,68
पूरा,68
हजार,67
२६,66
सुरू,65
इन्गेजमेन्ट,65
चक्कु,64
बुढानिलकण्ठ,64
पत्र,63
दर्शनाले,63
नसकेको,63
वर्षदेखि,63
टीम,62
Follow,62
Ltd.,62
Pvt.,62
Sanchar,62
Setopati,62
शिक्षा,62
गरिन्,62
रञ्जु,62
हानेको,62
सुरक्षागार्डलाई,62
स्कुलका,62
साहित्यपाटी,62
खेलकुद,62
ब्लग,62
राजनीति,62
गृहपृष्ठ,62
अन्तर्राष्ट्रिय,52
"६,",51
"शुक्रबार,",51
काम,47
कोठा,46
पुल,45
देशको,44
गौतमबुद्ध,42
उपत्यकामा,41
क्यालिब्रेसन,41
अघि,41
रहेको,41
महिनावारीमा,40
भएर,40
काठमाडौं,40
जना,39
फ्लाइट,38
विमानस्थलमा,38
घरबेटीहरू,38
मान्दैनन्,38
दिनै,38
छोइएला,38
सरकारी,38
क्षेत्र,38
नागरिक,37
कम्पनी,37
दुल्लु,36
तथा,36
सूचना,36
६,36
ज्यान,35
अधिकारी,35
अमित,34
बजार,34
साथी,34
भट्टराई,34
विद्यार्थी,34
४३७,34
८९,34
मोटरेबल,34
जोड्ने,34
रेडियो,33
गुमाएका,33
धामी,33
पौडेल,33
देशभर,33
दैलेख-सुर्खेत,33
आधा,33
प्रधान,32
दर्ता,32
सम्पर्क,32
ध्यानाकर्षण,32
पन्त,32
अभ्यास,32
दाहाल,32
पराजुली,32
मानिस,32
नियम,32
नारायण,32
ढुंगा,32
डा.,32
कस्ता,32
जीवन,32
प्रेरित,32
सडकबाट,32
गर्छौं,32
विरोध,32
प्रकाशित,32
कथा,32
हुन्,32
ग्लोबल,32
२०७८,32
५,31
SoftNEP,31
by:,31
Site,31
reserved.,31
rights,31
All,31
-2022,31
©,31
ढकाल,31
सम्पादक,31
महाधिवेशन,31
एसियाली,31
दक्षिण,31
१३औं,31
Ye:,31
Katha,31
टिबेट,31
इन,31
डेज,31
सेभेन,31
#CT2017,31
ICC,31
फिड,31
मेनु,31
Instagram,31
Channel,31
YouTube,31
Subscribe,31
Twitter,31
Facebook,31
Like,31
मिडिया,31
सोसल,31
9851123339,31
"9801123339,",31
"015544598,",31
विज्ञापनका,31
info@setopati.com,31
"setopati@gmail.com,",31
+977-1-5428194,31
+977-1-5429319,31
Nepal,31
"Lalitpur,",31
Jhamsikhel,31
१४१७/०७६-२०७७,31
नंः,31
विभाग,31
सुन्नुहोस्,31
चाँदि,31
सुन,31
शेयर,31
दर,31
विनिमय,31
गर्नुहोस्,31
टाइप,31
युनिकोडमा,31
सूचनापाटी,31
ज्ञवाली,31
नरेन्द्र,31
विद्यार्थीको,31
मन्त्रीलाई,31
